epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,182.874,0.4344,0.50438,0.28064,0.79018,0.99953,0.99134,0.995,0.93344,0.99516,0.98701,0.99347,0.7819,0.36664,0.60692,0.25972,0.78624,0.0010846,0.0010846,0.0010846
71,185.229,0.40148,0.49975,0.26839,0.78839,1,0.99031,0.995,0.93521,1,0.99031,0.995,0.79074,0.3666,0.61754,0.25457,0.78711,0.00107133,0.00107133,0.00107133
72,187.703,0.4151,0.51762,0.27359,0.7866,0.99141,0.99921,0.99491,0.93484,0.98711,0.99488,0.9936,0.77623,0.37498,0.61866,0.26154,0.78841,0.00105807,0.00105807,0.00105807
73,190.096,0.41975,0.52453,0.27149,0.78535,0.99669,0.99134,0.995,0.93099,0.99234,0.98701,0.99334,0.77581,0.38374,0.60593,0.2644,0.78926,0.0010448,0.0010448,0.0010448
74,192.363,0.42919,0.50454,0.27688,0.79027,0.99826,0.99134,0.995,0.94256,0.9939,0.98701,0.99308,0.76571,0.362,0.59199,0.25913,0.78785,0.00103153,0.00103153,0.00103153
75,194.652,0.42969,0.49932,0.28208,0.78838,1,0.99636,0.995,0.94449,0.99566,0.99203,0.99318,0.77145,0.35943,0.61864,0.25605,0.78995,0.00101827,0.00101827,0.00101827
76,197.145,0.41905,0.48571,0.27469,0.78931,0.99977,0.99567,0.995,0.9439,0.99542,0.99134,0.99265,0.76648,0.36001,0.58103,0.25173,0.78713,0.001005,0.001005,0.001005
77,199.674,0.42418,0.50769,0.2741,0.78114,1,0.99526,0.995,0.937,0.99565,0.99093,0.99209,0.76163,0.37143,0.66297,0.25256,0.78805,0.000991733,0.000991733,0.000991733
78,202.161,0.40718,0.51674,0.27359,0.7847,1,0.9908,0.995,0.93741,0.99563,0.98647,0.99173,0.7604,0.36268,0.6015,0.24916,0.78831,0.000978467,0.000978467,0.000978467
79,204.595,0.42534,0.54522,0.27613,0.78659,0.99117,0.99134,0.99491,0.93583,0.99117,0.99134,0.99491,0.76096,0.37458,0.62143,0.25879,0.7882,0.0009652,0.0009652,0.0009652
80,207.081,0.42931,0.52696,0.27643,0.78722,0.9982,0.98701,0.99483,0.93195,0.9982,0.98701,0.99483,0.76198,0.37356,0.56349,0.26251,0.79057,0.000951933,0.000951933,0.000951933
81,209.429,0.41734,0.5062,0.27572,0.78526,0.99838,0.98701,0.99487,0.92791,0.994,0.98268,0.99146,0.75225,0.37386,0.55115,0.25871,0.78854,0.000938667,0.000938667,0.000938667
82,211.783,0.42259,0.50689,0.27214,0.7838,1,0.99003,0.995,0.93858,0.99563,0.9857,0.99145,0.76141,0.3625,0.56585,0.25088,0.78811,0.0009254,0.0009254,0.0009254
83,214.257,0.41482,0.50509,0.27235,0.78853,0.99965,0.99134,0.995,0.94172,0.99529,0.98701,0.9917,0.75507,0.35881,0.5739,0.24999,0.78774,0.000912133,0.000912133,0.000912133
84,216.996,0.41042,0.51342,0.27037,0.78486,1,0.99548,0.995,0.94436,1,0.99548,0.995,0.77164,0.34912,0.57219,0.24892,0.78586,0.000898867,0.000898867,0.000898867
85,219.402,0.40835,0.49457,0.26774,0.78331,0.99915,0.99134,0.995,0.93691,0.99915,0.99134,0.995,0.7551,0.37767,0.65247,0.25269,0.78784,0.0008856,0.0008856,0.0008856
86,221.923,0.43435,0.52728,0.28118,0.78988,0.9992,0.99134,0.995,0.93065,0.9992,0.99134,0.995,0.77679,0.36946,0.59474,0.25549,0.78682,0.000872333,0.000872333,0.000872333
87,224.218,0.43004,0.52445,0.27443,0.78527,0.99518,0.99134,0.995,0.93726,0.99518,0.99134,0.995,0.76828,0.36665,0.57249,0.25606,0.78558,0.000859067,0.000859067,0.000859067
88,226.595,0.42269,0.50842,0.2753,0.78668,0.98709,0.99329,0.99491,0.9405,0.98709,0.99329,0.99491,0.77554,0.35611,0.5685,0.25385,0.78671,0.0008458,0.0008458,0.0008458
