epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,273.353,0.48407,0.60314,0.34184,0.79702,0.99491,0.98701,0.99465,0.91399,0.99491,0.98701,0.99465,0.74689,0.40529,0.60933,0.30565,0.79356,0.000593733,0.000593733,0.000593733
108,275.789,0.49994,0.61142,0.34466,0.79497,0.98711,0.99453,0.99478,0.912,0.98711,0.99453,0.99478,0.73917,0.41201,0.63885,0.30631,0.79551,0.000580467,0.000580467,0.000580467
109,278.209,0.51548,0.63986,0.34617,0.79016,0.99129,0.98581,0.9947,0.91561,0.98694,0.98152,0.99404,0.72658,0.40808,0.65413,0.30642,0.79567,0.0005672,0.0005672,0.0005672
110,280.755,0.47287,0.61663,0.32752,0.80084,0.99603,0.97403,0.99466,0.92043,0.9916,0.9697,0.99409,0.74702,0.39424,0.5813,0.30224,0.79529,0.000553933,0.000553933,0.000553933
111,283.225,0.50283,0.63985,0.33852,0.79724,0.99473,0.97835,0.99457,0.91252,0.99033,0.97403,0.99394,0.75589,0.41945,0.61126,0.30438,0.79669,0.000540667,0.000540667,0.000540667
112,285.727,0.51014,0.63583,0.3441,0.79738,1,0.97786,0.99474,0.91839,0.99557,0.97353,0.99375,0.74709,0.39892,0.59452,0.29491,0.79375,0.0005274,0.0005274,0.0005274
113,288.48,0.48268,0.60258,0.32697,0.79692,0.99128,0.98411,0.99479,0.92069,0.99128,0.98411,0.99479,0.74488,0.40066,0.58875,0.29632,0.79258,0.000514133,0.000514133,0.000514133
114,291.131,0.49279,0.63068,0.33359,0.79614,0.99135,0.98268,0.99478,0.91152,0.98698,0.97835,0.99396,0.73869,0.41533,0.60959,0.30105,0.79416,0.000500867,0.000500867,0.000500867
115,293.674,0.49115,0.60844,0.33373,0.79704,0.99562,0.98496,0.99487,0.91826,0.99562,0.98496,0.99487,0.74878,0.39732,0.60023,0.29488,0.79317,0.0004876,0.0004876,0.0004876
116,296.074,0.49807,0.63359,0.33289,0.79784,0.99242,0.98268,0.99483,0.91985,0.99242,0.98268,0.99483,0.75776,0.41203,0.64333,0.30582,0.79536,0.000474333,0.000474333,0.000474333
117,298.542,0.47767,0.61763,0.32746,0.79739,0.98706,0.99031,0.99478,0.92191,0.98706,0.99031,0.99478,0.75674,0.40452,0.61019,0.30313,0.79295,0.000461067,0.000461067,0.000461067
118,300.957,0.49553,0.62198,0.3386,0.7934,0.98608,0.99567,0.99474,0.93007,0.98608,0.99567,0.99474,0.75858,0.39121,0.58131,0.29839,0.79337,0.0004478,0.0004478,0.0004478
119,303.297,0.48458,0.63286,0.3281,0.79184,0.99133,0.99028,0.99491,0.9257,0.99133,0.99028,0.99491,0.74897,0.40056,0.60147,0.29499,0.79459,0.000434533,0.000434533,0.000434533
120,305.756,0.4774,0.62799,0.32603,0.79585,0.99243,0.99134,0.99496,0.92809,0.99243,0.99134,0.99496,0.75491,0.38831,0.6059,0.28869,0.79306,0.000421267,0.000421267,0.000421267
121,308.086,0.46349,0.58892,0.32461,0.79211,1,0.99059,0.995,0.92157,1,0.99059,0.995,0.74924,0.39662,0.61948,0.29399,0.79422,0.000408,0.000408,0.000408
122,310.431,0.47326,0.59336,0.32199,0.79857,0.99869,0.99134,0.995,0.92089,0.99869,0.99134,0.995,0.74968,0.40765,0.63625,0.29334,0.79674,0.000394733,0.000394733,0.000394733
123,312.797,0.47228,0.60276,0.32334,0.79418,1,0.99463,0.995,0.92166,0.99565,0.9903,0.99448,0.74994,0.39039,0.63808,0.2905,0.79425,0.000381467,0.000381467,0.000381467
124,315.275,0.47647,0.62925,0.32738,0.79151,1,0.99028,0.995,0.91934,0.99563,0.98595,0.99443,0.7499,0.40618,0.61774,0.29251,0.79422,0.0003682,0.0003682,0.0003682
125,317.805,0.48567,0.62625,0.32915,0.78807,0.99961,0.98701,0.99496,0.91899,0.99523,0.98268,0.99439,0.74307,0.41522,0.61682,0.29404,0.79523,0.000354933,0.000354933,0.000354933
126,320.193,0.47168,0.60191,0.32223,0.7947,0.99131,0.98794,0.99491,0.91789,0.98697,0.98361,0.99418,0.74743,0.40544,0.59272,0.29051,0.79411,0.000341667,0.000341667,0.000341667
